CB Status,R,V,I,P,Q,VPU,IPU,PPU,QPU,Voltage PU,Current PU,Power PU,Reactive PU
TIE 10 TIE 21,1,14645.65462,25.54754297,1176282.835,-365697.3175,1.464565462,1.277377149,11.76282835,-3.656973175,10000,20,100000,100000
TIE 10 TIE 21,1,14769.68024,26.11791968,1181984.984,-406388.4173,1.476968024,1.305895984,11.81984984,-4.063884173,10000,20,100000,100000
TIE 10 TIE 21,1,14799.55471,25.1066371,1133278.449,-404232.9619,1.479955471,1.255331855,11.33278449,-4.042329619,10000,20,100000,100000
TIE 10 TIE 21,1,14783.35086,25.81553119,1168401.823,-392412.842,1.478335086,1.29077656,11.68401823,-3.92412842,10000,20,100000,100000
TIE 10 TIE 21,1,14562.48345,26.61436037,1248923.348,-268413.8459,1.456248345,1.330718019,12.48923348,-2.684138459,10000,20,100000,100000
TIE 10 TIE 21,1,14770.89314,25.97676704,1190137.159,-358921.043,1.477089314,1.298838352,11.90137159,-3.58921043,10000,20,100000,100000
TIE 10 TIE 21,1,14604.13502,26.20369469,1211705.22,-333003.7479,1.460413502,1.310184735,12.1170522,-3.330037479,10000,20,100000,100000
TIE 10 TIE 21,1,14675.8672,26.13294711,1196689.76,-349432.9662,1.46758672,1.306647355,11.9668976,-3.494329662,10000,20,100000,100000
TIE 10 TIE 21,1,14706.87658,25.9858111,1192260.513,-343286.1803,1.470687658,1.299290555,11.92260513,-3.432861803,10000,20,100000,100000
TIE 10 TIE 21,1,14686.71619,26.08300933,1184313.62,-391729.6686,1.468671619,1.304150467,11.8431362,-3.917296686,10000,20,100000,100000
TIE 10 TIE 21,1,14673.84987,25.91100594,1193585.859,-357255.3587,1.467384987,1.295550297,11.93585859,-3.572553587,10000,20,100000,100000
TIE 10 TIE 21,1,14755.989,25.89749272,1182806.002,-377794.7076,1.4755989,1.294874636,11.82806002,-3.777947076,10000,20,100000,100000
TIE 10 TIE 21,1,14761.80794,25.44467793,1161137.345,-385671.888,1.476180794,1.272233897,11.61137345,-3.85671888,10000,20,100000,100000
TIE 10 TIE 21,1,14716.00565,24.90752668,1155280.466,-335488.101,1.471600565,1.245376334,11.55280466,-3.35488101,10000,20,100000,100000
TIE 10 TIE 21,1,14693.15214,25.41286209,1156432.247,-381811.2795,1.469315214,1.270643104,11.56432247,-3.818112795,10000,20,100000,100000
TIE 10 TIE 21,1,14949.18332,14.71181903,721126.8077,-203297.4411,1.494918332,0.735590952,7.211268077,-2.032974411,10000,20,100000,100000
TIE 10 TIE 21,1,15042.23085,14.13561562,679117.9296,-260367.2974,1.504223085,0.706780781,6.791179296,-2.603672974,10000,20,100000,100000
TIE 10 TIE 21,1,15070.30482,14.18427449,677686.2474,-262457.4226,1.507030482,0.709213724,6.776862474,-2.624574226,10000,20,100000,100000
TIE 10 TIE 21,1,14954.95248,14.46595271,709857.8844,-228769.4439,1.495495248,0.723297635,7.098578844,-2.287694439,10000,20,100000,100000
TIE 10 TIE 21,1,15067.81746,14.72093314,705188.1104,-254974.8104,1.506781746,0.736046657,7.051881104,-2.549748104,10000,20,100000,100000
TIE 10 TIE 21,1,14910.51392,15.42443973,774330.454,-156416.0294,1.491051392,0.771221987,7.74330454,-1.564160294,10000,20,100000,100000
TIE 10 TIE 21,1,14863.42199,15.76059579,776924.3347,-204933.3082,1.486342199,0.788029789,7.769243347,-2.049333082,10000,20,100000,100000
TIE 10 TIE 21,1,14991.2851,13.96365003,661248.0116,-263373.6208,1.49912851,0.698182502,6.612480116,-2.633736208,10000,20,100000,100000
TIE 10 TIE 21,1,15007.91319,15.25608113,739962.8917,-234454.7371,1.500791319,0.762804056,7.399628917,-2.344547371,10000,20,100000,100000
TIE 10 TIE 21,1,14983.9218,15.63441602,762831.7024,-194576.4867,1.49839218,0.781720801,7.628317024,-1.945764867,10000,20,100000,100000
TIE 10 TIE 21,1,14814.47694,15.5774654,786563.4861,-172889.7439,1.481447694,0.77887327,7.865634861,-1.728897439,10000,20,100000,100000
TIE 10 TIE 21,1,14741.33826,16.02827318,827321.0688,-123259.0938,1.474133826,0.801413659,8.273210688,-1.232590938,10000,20,100000,100000
TIE 10 TIE 21,1,14898.77131,15.39334904,770842.7271,-156878.3161,1.489877131,0.769667452,7.708427271,-1.568783161,10000,20,100000,100000
TIE 10 TIE 21,1,15004.15755,15.37381157,737136.0623,-226695.2591,1.500415755,0.768690579,7.371360623,-2.266952591,10000,20,100000,100000
TIE 10 TIE 21,1,14795.43814,15.74437469,787844.1419,-183482.9196,1.479543814,0.787218735,7.878441419,-1.834829196,10000,20,100000,100000
TIE 10 TIE 21,1,14866.83808,15.33651314,762707.6163,-168453.5246,1.486683808,0.766825657,7.627076163,-1.684535246,10000,20,100000,100000
TIE 10 TIE 21,1,14856.75279,14.98535691,758325.0588,-170905.7504,1.485675279,0.749267846,7.583250588,-1.709057504,10000,20,100000,100000
TIE 10 TIE 21,1,14638.64022,17.34602518,892142.1091,-96458.04942,1.463864022,0.867301259,8.921421091,-0.964580494,10000,20,100000,100000
TIE 10 TIE 21,1,14707.00746,16.31584715,831557.4546,-127623.0935,1.470700746,0.815792357,8.315574546,-1.276230935,10000,20,100000,100000
TIE 10 TIE 21,1,14872.87111,15.91294376,783515.7576,-189728.1742,1.487287111,0.795647188,7.835157576,-1.897281742,10000,20,100000,100000
TIE 10 TIE 21,1,14833.70168,16.0267461,796195.2625,-187745.9885,1.483370168,0.801337305,7.961952625,-1.877459885,10000,20,100000,100000
TIE 10 TIE 21,1,14593.89628,16.59454738,867944.6922,-71748.94125,1.459389628,0.829727369,8.679446922,-0.717489413,10000,20,100000,100000
TIE 10 TIE 21,1,14682.53975,16.36872549,842252.793,-124945.2174,1.468253975,0.818436275,8.42252793,-1.249452174,10000,20,100000,100000
TIE 10 TIE 21,1,14758.41661,15.53172575,787595.5352,-152299.7801,1.475841661,0.776586287,7.875955352,-1.522997801,10000,20,100000,100000
